Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Value For Money,Seat Comfort_missing,Cabin Staff Service_missing,Food & Beverages_missing,Ground Service_missing,Value For Money_missing,Verified,Type Of Traveller,Seat Type,review_length,Recommended
4.0,5.0,4.0,4.0,3.0,0,0,0,0,0,True,Solo Leisure,Economy Class,352,1
2.0,2.0,1.0,1.0,2.0,0,0,0,0,0,True,Solo Leisure,Economy Class,689,0
2.0,1.0,1.0,1.0,2.0,0,0,0,0,0,True,Solo Leisure,Economy Class,405,0
1.0,1.0,,1.0,1.0,0,0,1,0,0,False,Solo Leisure,Economy Class,734,0
1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,Couple Leisure,Economy Class,597,0
1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,Couple Leisure,Economy Class,730,0
1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,False,Business,Economy Class,323,0
1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,False,Solo Leisure,Economy Class,1056,0
1.0,2.0,1.0,1.0,1.0,0,0,0,0,0,True,Solo Leisure,Economy Class,207,0
4.0,4.0,3.0,5.0,5.0,0,0,0,0,0,True,Family Leisure,Economy Class,438,1
2.0,1.0,,1.0,1.0,0,0,1,0,0,False,Business,Economy Class,281,0
4.0,1.0,1.0,4.0,1.0,0,0,0,0,0,True,Family Leisure,Economy Class,410,0
3.0,3.0,,3.0,2.0,0,0,1,0,0,True,Solo Leisure,Economy Class,969,0
1.0,2.0,2.0,2.0,1.0,0,0,0,0,0,True,Business,Economy Class,1023,0
3.0,3.0,,1.0,1.0,0,0,1,0,0,True,Couple Leisure,Economy Class,1695,0
5.0,5.0,5.0,5.0,5.0,0,0,0,0,0,True,Business,Economy Class,191,1
2.0,1.0,1.0,1.0,1.0,0,0,0,0,0,True,Solo Leisure,Economy Class,497,0
2.0,4.0,1.0,1.0,3.0,0,0,0,0,0,True,Solo Leisure,Economy Class,2215,0
5.0,5.0,3.0,5.0,3.0,0,0,0,0,0,True,Business,Economy Class,628,1
3.0,3.0,,1.0,1.0,0,0,1,0,0,False,Couple Leisure,Economy Class,470,0
3.0,4.0,1.0,1.0,2.0,0,0,0,0,0,False,Family Leisure,Economy Class,968,0
5.0,5.0,4.0,5.0,4.0,0,0,0,0,0,False,Business,Economy Class,750,1
5.0,5.0,4.0,5.0,4.0,0,0,0,0,0,False,Solo Leisure,Business Class,525,1
5.0,5.0,,5.0,4.0,0,0,1,0,0,False,Business,Economy Class,321,1
4.0,4.0,3.0,3.0,4.0,0,0,0,0,0,False,Solo Leisure,Business Class,450,1
3.0,5.0,1.0,4.0,1.0,0,0,0,0,0,False,Business,Economy Class,782,0
1.0,1.0,2.0,3.0,1.0,0,0,0,0,0,False,Solo Leisure,Economy Class,1797,0
3.0,1.0,1.0,2.0,2.0,0,0,0,0,0,False,Solo Leisure,Economy Class,923,0
2.0,2.0,,4.0,4.0,0,0,1,0,0,False,Couple Leisure,Economy Class,799,0
2.0,4.0,3.0,3.0,4.0,0,0,0,0,0,False,Family Leisure,Economy Class,809,1
4.0,5.0,,1.0,3.0,0,0,1,0,0,False,Couple Leisure,Economy Class,355,0
5.0,5.0,5.0,5.0,5.0,0,0,0,0,0,False,Solo Leisure,Economy Class,367,1
4.0,4.0,3.0,5.0,4.0,0,0,0,0,0,False,Business,Economy Class,733,1
5.0,5.0,,5.0,5.0,0,0,1,0,0,False,Solo Leisure,Economy Class,395,1
3.0,2.0,2.0,4.0,3.0,0,0,0,0,0,False,Solo Leisure,Economy Class,630,1
2.0,3.0,1.0,3.0,1.0,0,0,0,0,0,False,Solo Leisure,Economy Class,481,0
3.0,3.0,,3.0,2.0,0,0,1,0,0,False,Couple Leisure,Economy Class,434,0
5.0,1.0,1.0,5.0,5.0,0,0,0,0,0,False,Solo Leisure,Economy Class,565,1
5.0,5.0,5.0,5.0,5.0,0,0,0,0,0,False,Business,Business Class,477,1
4.0,3.0,,3.0,3.0,0,0,1,0,0,False,Family Leisure,Economy Class,343,0
4.0,5.0,,5.0,2.0,0,0,1,0,0,False,Family Leisure,Economy Class,381,1
5.0,5.0,,5.0,4.0,0,0,1,0,0,False,Family Leisure,Economy Class,330,1
4.0,4.0,4.0,,4.0,0,0,0,1,0,False,Unknown,Economy Class,424,1
5.0,5.0,4.0,,5.0,0,0,0,1,0,False,Unknown,Economy Class,249,1
4.0,4.0,3.0,,4.0,0,0,0,1,0,False,Unknown,Business Class,439,1
4.0,2.0,1.0,,2.0,0,0,0,1,0,False,Unknown,Economy Class,675,0
4.0,4.0,3.0,,4.0,0,0,0,1,0,False,Unknown,Economy Class,403,1
4.0,4.0,1.0,,3.0,0,0,0,1,0,False,Unknown,Economy Class,433,1
5.0,5.0,4.0,,4.0,0,0,0,1,0,False,Unknown,Economy Class,248,1
4.0,3.0,4.0,,4.0,0,0,0,1,0,False,Unknown,Business Class,423,1
5.0,5.0,4.0,,4.0,0,0,0,1,0,False,Unknown,Economy Class,243,1
4.0,4.0,4.0,,4.0,0,0,0,1,0,False,Unknown,Economy Class,205,1
4.0,5.0,3.0,,5.0,0,0,0,1,0,False,Unknown,Economy Class,629,1
4.0,4.0,4.0,,4.0,0,0,0,1,0,False,Unknown,Economy Class,639,1
3.0,3.0,4.0,,4.0,0,0,0,1,0,False,Unknown,Business Class,306,1
2.0,5.0,4.0,,4.0,0,0,0,1,0,False,Unknown,Business Class,777,1
4.0,4.0,1.0,,4.0,0,0,0,1,0,False,Unknown,Economy Class,411,1
4.0,5.0,4.0,,2.0,0,0,0,1,0,False,Unknown,Economy Class,293,1
,,,,4.0,1,1,1,1,0,False,Unknown,Economy Class,402,1
,,,,4.0,1,1,1,1,0,False,Unknown,Economy Class,344,1
,,,,1.0,1,1,1,1,0,False,Unknown,Economy Class,310,1
,,,,4.0,1,1,1,1,0,False,Unknown,Economy Class,458,1
,,,,1.0,1,1,1,1,0,False,Unknown,Economy Class,387,0
,,,,4.0,1,1,1,1,0,False,Unknown,Economy Class,250,1
,,,,4.0,1,1,1,1,0,False,Unknown,Business Class,442,1
