vader_compound,vader_pos,vader_neg,vader_neu,Verified,Type Of Traveller,Seat Type,review_length,row_id,Review Date,Date Flown,Recommended
0.9342,0.217,0.0,0.783,True,Solo Leisure,Economy Class,352,0,2019-11-11,2019-11-01,1
-0.8244,0.027,0.091,0.882,True,Solo Leisure,Economy Class,689,1,2019-06-25,2019-06-01,0
0.7569,0.106,0.027,0.867,True,Solo Leisure,Economy Class,405,2,2019-06-25,2019-06-01,0
-0.96,0.034,0.177,0.789,False,Solo Leisure,Economy Class,734,3,2019-09-28,2019-09-01,0
0.3027,0.103,0.087,0.81,True,Couple Leisure,Economy Class,597,4,2019-09-24,2019-09-01,0
-0.8822,0.058,0.122,0.82,True,Couple Leisure,Economy Class,730,5,2019-09-17,2019-09-01,0
-0.9589,0.048,0.332,0.619,False,Business,Economy Class,323,6,2019-09-06,2019-09-01,0
-0.8896,0.05,0.104,0.846,False,Solo Leisure,Economy Class,1056,7,2019-08-24,2019-08-01,0
0.7644,0.224,0.086,0.69,True,Solo Leisure,Economy Class,207,8,2019-08-06,2019-08-01,0
0.9019,0.165,0.03,0.805,True,Family Leisure,Economy Class,438,9,2018-10-12,2018-10-01,1
-0.9361,0.0,0.25,0.75,False,Business,Economy Class,281,10,2018-10-05,2018-10-01,0
-0.7937,0.057,0.136,0.807,True,Family Leisure,Economy Class,410,11,2018-07-29,2018-07-01,0
-0.9436,0.033,0.106,0.861,True,Solo Leisure,Economy Class,969,12,2018-07-19,2018-05-01,0
-0.3792,0.09,0.102,0.808,True,Business,Economy Class,1023,13,2018-06-30,2018-06-01,0
-0.8837,0.016,0.073,0.911,True,Couple Leisure,Economy Class,1695,14,2018-06-24,2018-06-01,0
0.8012,0.217,0.0,0.783,True,Business,Economy Class,191,15,2018-05-04,2018-04-01,1
-0.8309,0.019,0.115,0.866,True,Solo Leisure,Economy Class,497,16,2018-03-11,2018-03-01,0
-0.8314,0.069,0.091,0.84,True,Solo Leisure,Economy Class,2215,17,2017-12-05,2017-09-01,0
0.765,0.074,0.017,0.909,True,Business,Economy Class,628,18,2017-11-20,2017-11-01,1
-0.647,0.056,0.106,0.837,False,Couple Leisure,Economy Class,470,19,2017-10-27,2017-10-01,0
-0.9886,0.0,0.169,0.831,False,Family Leisure,Economy Class,968,20,2017-09-16,2017-06-01,0
0.6415,0.122,0.08,0.797,False,Business,Economy Class,750,21,2017-04-19,2017-04-01,1
0.9807,0.265,0.024,0.712,False,Solo Leisure,Business Class,525,22,2017-01-27,2016-12-01,1
0.9628,0.302,0.0,0.698,False,Business,Economy Class,321,23,2016-11-10,2016-10-01,1
0.9701,0.23,0.03,0.74,False,Solo Leisure,Business Class,450,24,2016-11-09,2016-11-01,1
0.6631,0.069,0.041,0.89,False,Business,Economy Class,782,25,2016-11-03,2016-11-01,0
0.6719,0.104,0.097,0.799,False,Solo Leisure,Economy Class,1797,26,2016-10-21,2016-10-01,0
0.5492,0.048,0.044,0.908,False,Solo Leisure,Economy Class,923,27,2016-10-10,2016-10-01,0
-0.6668,0.129,0.156,0.715,False,Couple Leisure,Economy Class,799,28,2016-09-30,2016-08-01,0
-0.34,0.051,0.047,0.902,False,Family Leisure,Economy Class,809,29,2016-09-04,2016-09-01,1
-0.4603,0.091,0.14,0.769,False,Couple Leisure,Economy Class,355,30,2016-08-06,2016-07-01,0
0.9669,0.333,0.022,0.645,False,Solo Leisure,Economy Class,367,31,2016-07-29,2016-07-01,1
0.845,0.096,0.038,0.866,False,Business,Economy Class,733,32,2016-07-13,2016-07-01,1
0.9343,0.211,0.032,0.757,False,Solo Leisure,Economy Class,395,33,2016-07-11,2016-07-01,1
0.9277,0.121,0.013,0.866,False,Solo Leisure,Economy Class,630,34,2016-07-10,2016-07-01,1
-0.0609,0.068,0.08,0.852,False,Solo Leisure,Economy Class,481,35,2016-01-25,2016-01-01,0
0.4409,0.128,0.129,0.743,False,Couple Leisure,Economy Class,434,36,2015-12-04,2015-09-01,0
0.7085,0.122,0.073,0.805,False,Solo Leisure,Economy Class,565,37,2015-10-03,2015-09-01,1
0.9398,0.231,0.0,0.769,False,Business,Business Class,477,38,2015-09-20,2015-09-01,1
-0.6135,0.062,0.134,0.804,False,Family Leisure,Economy Class,343,39,2015-09-09,2015-02-01,0
0.5775,0.102,0.071,0.826,False,Family Leisure,Economy Class,381,40,2015-09-04,2015-08-01,1
0.9774,0.328,0.0,0.672,False,Family Leisure,Economy Class,330,41,2015-09-02,2015-08-01,1
0.7351,0.129,0.058,0.813,False,Unknown,Economy Class,424,42,2015-04-10,,1
0.9497,0.33,0.0,0.67,False,Unknown,Economy Class,249,43,2014-09-14,,1
0.9134,0.146,0.0,0.854,False,Unknown,Business Class,439,44,2014-09-06,,1
0.2991,0.069,0.067,0.864,False,Unknown,Economy Class,675,45,2014-06-16,,0
0.8827,0.185,0.072,0.743,False,Unknown,Economy Class,403,46,2014-06-08,,1
0.7266,0.16,0.102,0.739,False,Unknown,Economy Class,433,47,2014-06-01,,1
0.9571,0.337,0.0,0.663,False,Unknown,Economy Class,248,48,2014-05-10,,1
0.8674,0.12,0.0,0.88,False,Unknown,Business Class,423,49,2014-01-13,,1
0.9677,0.326,0.0,0.674,False,Unknown,Economy Class,243,50,2014-01-06,,1
0.9553,0.359,0.0,0.641,False,Unknown,Economy Class,205,51,2013-10-22,,1
0.9783,0.202,0.0,0.798,False,Unknown,Economy Class,629,52,2013-08-28,,1
0.9905,0.323,0.017,0.66,False,Unknown,Economy Class,639,53,2013-08-19,,1
0.0951,0.023,0.0,0.977,False,Unknown,Business Class,306,54,2013-08-19,,1
0.9582,0.165,0.044,0.791,False,Unknown,Business Class,777,55,2013-06-10,,1
