aspect_seat,aspect_food,aspect_staff,aspect_ground_service,aspect_entertainment,aspect_seat_missing,aspect_food_missing,aspect_staff_missing,aspect_ground_service_missing,aspect_entertainment_missing,Verified,Type Of Traveller,Seat Type,review_length,Recommended
,,,0.9468,,1,1,1,0,1,True,Solo Leisure,Economy Class,352,1
,,,0.4215,,1,1,1,0,1,True,Solo Leisure,Economy Class,689,0
,,0.8122,,0.8122,1,1,0,1,0,True,Solo Leisure,Economy Class,405,0
,,-0.9352,-0.9352,,1,1,0,0,1,False,Solo Leisure,Economy Class,734,0
,,,0.5719,,1,1,1,0,1,True,Couple Leisure,Economy Class,597,0
,,,-0.7845,,1,1,1,0,1,True,Couple Leisure,Economy Class,730,0
,,-0.9485,-0.9485,,1,1,0,0,1,False,Business,Economy Class,323,0
,,-0.709,-0.709,,1,1,0,0,1,False,Solo Leisure,Economy Class,1056,0
,,,0.743,,1,1,1,0,1,True,Solo Leisure,Economy Class,207,0
,0.8019,0.8019,0.8019,,1,0,0,0,1,True,Family Leisure,Economy Class,438,1
,,-0.8519,-0.8519,,1,1,0,0,1,False,Business,Economy Class,281,0
,-0.7506,-0.7506,-0.7506,,1,0,0,0,1,True,Family Leisure,Economy Class,410,0
,,-0.5106,-0.5106,,1,1,0,0,1,True,Solo Leisure,Economy Class,969,0
,,0.4404,0.4404,,1,1,0,0,1,True,Business,Economy Class,1023,0
,,-0.9151,-0.9151,,1,1,0,0,1,True,Couple Leisure,Economy Class,1695,0
0.765,,0.765,,,0,1,0,1,1,True,Business,Economy Class,191,1
,-0.7184,-0.7184,-0.7184,-0.7184,1,0,0,0,0,True,Solo Leisure,Economy Class,497,0
-0.1024,-0.1024,-0.1024,-0.1024,,0,0,0,0,1,True,Solo Leisure,Economy Class,2215,0
,0.875,,0.875,,1,0,1,0,1,True,Business,Economy Class,628,1
,,-0.4563,-0.4563,-0.4563,1,1,0,0,0,False,Couple Leisure,Economy Class,470,0
,,-0.9337,-0.9337,,1,1,0,0,1,False,Family Leisure,Economy Class,968,0
0.8519,0.8519,0.8519,0.8519,,0,0,0,0,1,False,Business,Economy Class,750,1
0.9796,0.9796,0.9796,0.9796,0.9796,0,0,0,0,0,False,Solo Leisure,Business Class,525,1
0.9628,,0.9628,,,0,1,0,1,1,False,Business,Economy Class,321,1
0.9821,0.9821,,,,0,0,1,1,1,False,Solo Leisure,Business Class,450,1
,0.8957,0.8957,0.8957,,1,0,0,0,1,False,Business,Economy Class,782,0
,,0.8074,0.8074,0.8074,1,1,0,0,0,False,Solo Leisure,Economy Class,1797,0
-0.25,,-0.25,-0.25,-0.25,0,1,0,0,0,False,Solo Leisure,Economy Class,923,0
-0.4839,,-0.4839,,,0,1,0,1,1,False,Couple Leisure,Economy Class,799,0
0.73,0.73,0.73,0.73,,0,0,0,0,1,False,Family Leisure,Economy Class,809,1
,,-0.7579,-0.7579,,1,1,0,0,1,False,Couple Leisure,Economy Class,355,0
,0.9657,0.9657,0.9657,,1,0,0,0,1,False,Solo Leisure,Economy Class,367,1
0.9509,,,0.9509,,0,1,1,0,1,False,Business,Economy Class,733,1
0.9618,,0.9618,,,0,1,0,1,1,False,Solo Leisure,Economy Class,395,1
0.924,,0.924,,,0,1,0,1,1,False,Solo Leisure,Economy Class,630,1
,-0.128,,-0.128,,1,0,1,0,1,False,Solo Leisure,Economy Class,481,0
,0.4767,,,,1,0,1,1,1,False,Couple Leisure,Economy Class,434,0
0.9313,,0.9313,,,0,1,0,1,1,False,Solo Leisure,Economy Class,565,1
0.9821,0.9821,0.9821,,,0,0,0,1,1,False,Business,Business Class,477,1
,-0.0258,-0.0258,-0.0258,,1,0,0,0,1,False,Family Leisure,Economy Class,343,0
0.2023,0.2023,0.2023,0.2023,,0,0,0,0,1,False,Family Leisure,Economy Class,381,1
0.959,,0.959,0.959,,0,1,0,0,1,False,Family Leisure,Economy Class,330,1
0.5859,0.5859,0.5859,,,0,0,0,1,1,False,Unknown,Economy Class,424,1
,,0.9423,0.9423,,1,1,0,0,1,False,Unknown,Economy Class,249,1
0.9029,0.9029,,,,0,0,1,1,1,False,Unknown,Business Class,439,1
,0.9217,0.9217,,,1,0,0,1,1,False,Unknown,Economy Class,675,0
,,0.3557,,0.3557,1,1,0,1,0,False,Unknown,Economy Class,403,1
,0.6712,0.6712,,,1,0,0,1,1,False,Unknown,Economy Class,433,1
0.9552,,0.9552,,,0,1,0,1,1,False,Unknown,Economy Class,248,1
0.9287,0.9287,,,,0,0,1,1,1,False,Unknown,Business Class,423,1
0.9153,,0.9153,,,0,1,0,1,1,False,Unknown,Economy Class,243,1
0.9413,,0.9413,,,0,1,0,1,1,False,Unknown,Economy Class,205,1
,0.9776,0.9776,0.9776,,1,0,0,0,1,False,Unknown,Economy Class,629,1
0.9909,,0.9909,0.9909,0.9909,0,1,0,0,0,False,Unknown,Economy Class,639,1
0.3757,0.3757,0.3757,,,0,0,0,1,1,False,Unknown,Business Class,306,1
0.9545,0.9545,0.9545,0.9545,,0,0,0,0,1,False,Unknown,Business Class,777,1
0.9484,0.9484,0.9484,0.9484,,0,0,0,0,1,False,Unknown,Economy Class,411,1
,,0.9169,,,1,1,0,1,1,False,Unknown,Economy Class,293,1
,,0.7859,0.7859,,1,1,0,0,1,False,Unknown,Economy Class,402,1
,-0.0772,-0.0772,-0.0772,,1,0,0,0,1,False,Unknown,Economy Class,344,1
0.539,0.539,0.539,0.539,,0,0,0,0,1,False,Unknown,Economy Class,310,1
0.9669,0.9669,0.9669,0.9669,,0,0,0,0,1,False,Unknown,Economy Class,458,1
0.5729,0.5729,0.5729,,,0,0,0,1,1,False,Unknown,Economy Class,387,0
,0.891,0.891,,,1,0,0,1,1,False,Unknown,Economy Class,250,1
,,0.908,0.908,,1,1,0,0,1,False,Unknown,Business Class,442,1
,0.8982,0.8982,0.8982,,1,0,0,0,1,False,Unknown,Business Class,291,1
,,0.9468,,,1,1,0,1,1,False,Unknown,Economy Class,364,1
,0.9022,0.9022,0.9022,,1,0,0,0,1,False,Unknown,Economy Class,410,0
,,0.2023,0.2023,,1,1,0,0,1,False,Unknown,Economy Class,854,0
0.9756,0.9756,0.9756,0.9756,,0,0,0,0,1,False,Unknown,Economy Class,1041,1
0.91,0.91,0.91,,,0,0,0,1,1,False,Unknown,Economy Class,233,1
,,0.743,,,1,1,0,1,1,False,Unknown,Economy Class,634,1
0.9702,0.9702,0.9702,0.9702,,0,0,0,0,1,False,Unknown,Unknown,566,0
