vader_compound,vader_pos,vader_neg,vader_neu,aspect_seat,aspect_food,aspect_staff,aspect_ground_service,aspect_entertainment,aspect_seat_missing,aspect_food_missing,aspect_staff_missing,aspect_ground_service_missing,aspect_entertainment_missing,Verified,Type Of Traveller,Seat Type,review_length,Recommended
0.9342,0.217,0.0,0.783,,,,0.9468,,1,1,1,0,1,True,Solo Leisure,Economy Class,352,1
-0.8244,0.027,0.091,0.882,,,,0.4215,,1,1,1,0,1,True,Solo Leisure,Economy Class,689,0
0.7569,0.106,0.027,0.867,,,0.8122,,0.8122,1,1,0,1,0,True,Solo Leisure,Economy Class,405,0
-0.96,0.034,0.177,0.789,,,-0.9352,-0.9352,,1,1,0,0,1,False,Solo Leisure,Economy Class,734,0
0.3027,0.103,0.087,0.81,,,,0.5719,,1,1,1,0,1,True,Couple Leisure,Economy Class,597,0
-0.8822,0.058,0.122,0.82,,,,-0.7845,,1,1,1,0,1,True,Couple Leisure,Economy Class,730,0
-0.9589,0.048,0.332,0.619,,,-0.9485,-0.9485,,1,1,0,0,1,False,Business,Economy Class,323,0
-0.8896,0.05,0.104,0.846,,,-0.709,-0.709,,1,1,0,0,1,False,Solo Leisure,Economy Class,1056,0
0.7644,0.224,0.086,0.69,,,,0.743,,1,1,1,0,1,True,Solo Leisure,Economy Class,207,0
0.9019,0.165,0.03,0.805,,0.8019,0.8019,0.8019,,1,0,0,0,1,True,Family Leisure,Economy Class,438,1
-0.9361,0.0,0.25,0.75,,,-0.8519,-0.8519,,1,1,0,0,1,False,Business,Economy Class,281,0
-0.7937,0.057,0.136,0.807,,-0.7506,-0.7506,-0.7506,,1,0,0,0,1,True,Family Leisure,Economy Class,410,0
-0.9436,0.033,0.106,0.861,,,-0.5106,-0.5106,,1,1,0,0,1,True,Solo Leisure,Economy Class,969,0
-0.3792,0.09,0.102,0.808,,,0.4404,0.4404,,1,1,0,0,1,True,Business,Economy Class,1023,0
-0.8837,0.016,0.073,0.911,,,-0.9151,-0.9151,,1,1,0,0,1,True,Couple Leisure,Economy Class,1695,0
0.8012,0.217,0.0,0.783,0.765,,0.765,,,0,1,0,1,1,True,Business,Economy Class,191,1
-0.8309,0.019,0.115,0.866,,-0.7184,-0.7184,-0.7184,-0.7184,1,0,0,0,0,True,Solo Leisure,Economy Class,497,0
