absa_seat_e2,absa_food_e2,absa_staff_e2,absa_ground_service_e2,absa_entertainment_e2,absa_seat_e2_missing,absa_food_e2_missing,absa_staff_e2_missing,absa_ground_service_e2_missing,absa_entertainment_e2_missing,Verified,Type Of Traveller,Seat Type,review_length,row_id,Review Date,Date Flown,Recommended
,,,0.9611,,1,1,1,0,1,True,Solo Leisure,Economy Class,352,0,2019-11-11,2019-11-01,1
,,,-0.9612,,1,1,1,0,1,True,Solo Leisure,Economy Class,689,1,2019-06-25,2019-06-01,0
,,-0.4084,-0.7031,-0.5122,1,1,0,0,0,True,Solo Leisure,Economy Class,405,2,2019-06-25,2019-06-01,0
,,-0.9613,-0.9543,,1,1,0,0,1,False,Solo Leisure,Economy Class,734,3,2019-09-28,2019-09-01,0
,,,-0.963,,1,1,1,0,1,True,Couple Leisure,Economy Class,597,4,2019-09-24,2019-09-01,0
,,,-0.9801,,1,1,1,0,1,True,Couple Leisure,Economy Class,730,5,2019-09-17,2019-09-01,0
,,-0.9299,-0.9402,,1,1,0,0,1,False,Business,Economy Class,323,6,2019-09-06,2019-09-01,0
,,0.4342,-0.6974,,1,1,0,0,1,False,Solo Leisure,Economy Class,1056,7,2019-08-24,2019-08-01,0
,,,-0.9779,,1,1,1,0,1,True,Solo Leisure,Economy Class,207,8,2019-08-06,2019-08-01,0
,0.9579,0.974,0.9144,,1,0,0,0,1,True,Family Leisure,Economy Class,438,9,2018-10-12,2018-10-01,1
,,-0.993,-0.9638,,1,1,0,0,1,False,Business,Economy Class,281,10,2018-10-05,2018-10-01,0
,-0.9753,-0.9942,-0.9735,,1,0,0,0,1,True,Family Leisure,Economy Class,410,11,2018-07-29,2018-07-01,0
,,-0.9157,-0.8973,,1,1,0,0,1,True,Solo Leisure,Economy Class,969,12,2018-07-19,2018-05-01,0
,,-0.9639,-0.9203,,1,1,0,0,1,True,Business,Economy Class,1023,13,2018-06-30,2018-06-01,0
,,-0.9323,-0.9204,,1,1,0,0,1,True,Couple Leisure,Economy Class,1695,14,2018-06-24,2018-06-01,0
0.9905,,0.993,,,0,1,0,1,1,True,Business,Economy Class,191,15,2018-05-04,2018-04-01,1
,-0.949,-0.962,-0.8286,-0.9592,1,0,0,0,0,True,Solo Leisure,Economy Class,497,16,2018-03-11,2018-03-01,0
-0.3528,-0.4863,-0.4781,-0.4129,,0,0,0,0,1,True,Solo Leisure,Economy Class,2215,17,2017-12-05,2017-09-01,0
,0.1987,,0.1085,,1,0,1,0,1,True,Business,Economy Class,628,18,2017-11-20,2017-11-01,1
,,-0.9736,-0.973,-0.9281,1,1,0,0,0,False,Couple Leisure,Economy Class,470,19,2017-10-27,2017-10-01,0
,,-0.9446,-0.9341,,1,1,0,0,1,False,Family Leisure,Economy Class,968,20,2017-09-16,2017-06-01,0
0.9387,0.3568,0.6705,0.0299,,0,0,0,0,1,False,Business,Economy Class,750,21,2017-04-19,2017-04-01,1
0.9919,0.9891,0.9919,0.9736,0.9833,0,0,0,0,0,False,Solo Leisure,Business Class,525,22,2017-01-27,2016-12-01,1
0.9862,,0.9883,0.9614,,0,1,0,0,1,False,Business,Economy Class,321,23,2016-11-10,2016-10-01,1
0.9931,0.9535,,,,0,0,1,1,1,False,Solo Leisure,Business Class,450,24,2016-11-09,2016-11-01,1
,-0.8351,-0.7906,-0.8647,,1,0,0,0,1,False,Business,Economy Class,782,25,2016-11-03,2016-11-01,0
,,-0.8353,-0.8391,-0.8365,1,1,0,0,0,False,Solo Leisure,Economy Class,1797,26,2016-10-21,2016-10-01,0
-0.7761,,-0.9753,-0.9601,-0.9519,0,1,0,0,0,False,Solo Leisure,Economy Class,923,27,2016-10-10,2016-10-01,0
0.6385,,0.3042,,,0,1,0,1,1,False,Couple Leisure,Economy Class,799,28,2016-09-30,2016-08-01,0
-0.5472,0.3608,0.4899,0.2109,,0,0,0,0,1,False,Family Leisure,Economy Class,809,29,2016-09-04,2016-09-01,1
,,-0.974,-0.9663,,1,1,0,0,1,False,Couple Leisure,Economy Class,355,30,2016-08-06,2016-07-01,0
,0.9631,0.9821,0.7909,,1,0,0,0,1,False,Solo Leisure,Economy Class,367,31,2016-07-29,2016-07-01,1
0.9499,,,0.8983,,0,1,1,0,1,False,Business,Economy Class,733,32,2016-07-13,2016-07-01,1
0.8811,,0.9271,0.7244,,0,1,0,0,1,False,Solo Leisure,Economy Class,395,33,2016-07-11,2016-07-01,1
-0.3048,,-0.849,-0.4126,,0,1,0,0,1,False,Solo Leisure,Economy Class,630,34,2016-07-10,2016-07-01,1
,-0.6418,,-0.8009,,1,0,1,0,1,False,Solo Leisure,Economy Class,481,35,2016-01-25,2016-01-01,0
,-0.267,,,,1,0,1,1,1,False,Couple Leisure,Economy Class,434,36,2015-12-04,2015-09-01,0
0.0051,,-0.0739,-0.0905,,0,1,0,0,1,False,Solo Leisure,Economy Class,565,37,2015-10-03,2015-09-01,1
0.9836,0.9785,0.9798,,,0,0,0,1,1,False,Business,Business Class,477,38,2015-09-20,2015-09-01,1
,-0.9255,-0.5885,-0.9465,,1,0,0,0,1,False,Family Leisure,Economy Class,343,39,2015-09-09,2015-02-01,0
0.9933,0.7591,0.9852,0.8601,,0,0,0,0,1,False,Family Leisure,Economy Class,381,40,2015-09-04,2015-08-01,1
0.9968,,0.9911,0.9841,,0,1,0,0,1,False,Family Leisure,Economy Class,330,41,2015-09-02,2015-08-01,1
0.7556,0.3058,0.8549,,,0,0,0,1,1,False,Unknown,Economy Class,424,42,2015-04-10,,1
,,0.9825,0.7203,,1,1,0,0,1,False,Unknown,Economy Class,249,43,2014-09-14,,1
0.9917,0.7967,,,,0,0,1,1,1,False,Unknown,Business Class,439,44,2014-09-06,,1
,-0.6082,0.1137,,,1,0,0,1,1,False,Unknown,Economy Class,675,45,2014-06-16,,0
,,0.9755,,0.8644,1,1,0,1,0,False,Unknown,Economy Class,403,46,2014-06-08,,1
,-0.7788,0.9911,0.6828,,1,0,0,0,1,False,Unknown,Economy Class,433,47,2014-06-01,,1
0.9966,,0.9942,0.9294,,0,1,0,0,1,False,Unknown,Economy Class,248,48,2014-05-10,,1
0.9878,0.9399,,,,0,0,1,1,1,False,Unknown,Business Class,423,49,2014-01-13,,1
0.993,,0.9958,0.9628,,0,1,0,0,1,False,Unknown,Economy Class,243,50,2014-01-06,,1
0.9965,,0.9972,,,0,1,0,1,1,False,Unknown,Economy Class,205,51,2013-10-22,,1
,0.9835,0.9917,0.9452,,1,0,0,0,1,False,Unknown,Economy Class,629,52,2013-08-28,,1
0.9893,,0.9784,0.9136,0.973,0,1,0,0,0,False,Unknown,Economy Class,639,53,2013-08-19,,1
0.9615,0.9506,0.9621,,,0,0,0,1,1,False,Unknown,Business Class,306,54,2013-08-19,,1
0.9198,0.7624,0.9713,0.5032,,0,0,0,0,1,False,Unknown,Business Class,777,55,2013-06-10,,1
0.9863,0.9133,0.9739,0.7743,,0,0,0,0,1,False,Unknown,Economy Class,411,56,2013-05-27,,1
,,0.9814,0.7185,,1,1,0,0,1,False,Unknown,Economy Class,293,57,2012-10-08,,1
,,-0.482,-0.1754,,1,1,0,0,1,False,Unknown,Economy Class,402,58,2012-07-04,,1
,-0.0125,-0.6618,-0.069,,1,0,0,0,1,False,Unknown,Economy Class,344,59,2012-06-17,,1
0.9742,0.9699,0.9941,0.8187,,0,0,0,0,1,False,Unknown,Economy Class,310,60,2012-06-12,,1
0.9932,0.9647,0.9832,0.8102,,0,0,0,0,1,False,Unknown,Economy Class,458,61,2012-02-16,,1
0.9689,0.8849,0.9534,0.3599,,0,0,0,0,1,False,Unknown,Economy Class,387,62,2012-01-17,,0
,0.9808,0.9947,,,1,0,0,1,1,False,Unknown,Economy Class,250,63,2011-09-20,,1
,,0.975,0.6724,,1,1,0,0,1,False,Unknown,Business Class,442,64,2011-09-13,,1
,0.485,0.9841,-0.3947,,1,0,0,0,1,False,Unknown,Business Class,291,65,2011-09-13,,1
,,0.9804,,,1,1,0,1,1,False,Unknown,Economy Class,364,66,2011-01-19,,1
,0.9681,-0.7924,-0.0049,,1,0,0,0,1,False,Unknown,Economy Class,410,67,2011-01-07,,0
,,0.1699,-0.2333,,1,1,0,0,1,False,Unknown,Economy Class,854,68,2010-10-10,,0
-0.126,-0.7604,0.4153,-0.2564,,0,0,0,0,1,False,Unknown,Economy Class,1041,69,2009-11-25,,1
0.9901,0.7823,0.9737,0.7856,,0,0,0,0,1,False,Unknown,Economy Class,233,70,2009-05-27,,1
,,-0.8453,,,1,1,0,1,1,False,Unknown,Economy Class,634,71,2009-05-26,,1
0.6019,-0.246,-0.525,,,0,0,0,1,1,False,Unknown,Unknown,566,72,2009-02-28,,0
,0.9921,0.9852,0.7629,,1,0,0,0,1,False,Unknown,Unknown,380,73,2008-05-29,,0
,0.8525,0.9912,,,1,0,0,1,1,False,Unknown,Unknown,402,74,2008-05-12,,0
0.114,0.1403,0.4676,0.1241,,0,0,0,0,1,False,Unknown,Unknown,535,75,2008-02-11,,0
-0.4681,,0.9968,,,0,1,0,1,1,False,Unknown,Unknown,266,76,2007-10-04,,0
,-0.3274,0.9872,,,1,0,0,1,1,False,Unknown,Unknown,430,77,2007-08-08,,0
0.9491,0.6901,0.9049,0.4605,,0,0,0,0,1,False,Unknown,Unknown,688,78,2007-07-14,,0
,0.0036,0.9904,0.3788,,1,0,0,0,1,False,Unknown,Unknown,368,79,2007-03-24,,0
0.9883,0.8677,0.9824,,0.8957,0,0,0,1,0,False,Unknown,Unknown,564,80,2006-10-09,,0
0.9197,0.8432,0.8936,0.8243,,0,0,0,0,1,False,Unknown,Unknown,574,81,2006-09-29,,0
0.9146,0.5274,0.99,,,0,0,0,1,1,False,Unknown,Unknown,497,82,2006-09-27,,0
-0.8113,,0.7674,-0.1889,,0,1,0,0,1,False,Unknown,Unknown,657,83,2006-08-02,,0
,0.9326,0.9821,,,1,0,0,1,1,False,Unknown,Unknown,339,84,2006-02-21,,0
0.9821,0.8912,0.9942,0.8685,,0,0,0,0,1,False,Unknown,Unknown,525,85,2005-10-01,,0
,0.7448,0.971,0.7456,,1,0,0,0,1,False,Unknown,Unknown,391,86,2005-09-15,,0
,0.7839,0.9924,0.6373,,1,0,0,0,1,False,Unknown,Unknown,311,87,2004-12-03,,0
,0.198,0.3977,0.1042,,1,0,0,0,1,False,Unknown,Unknown,776,88,2004-03-18,,0
,-0.21,0.9616,0.7144,,1,0,0,0,1,False,Unknown,Unknown,212,89,2003-11-01,,0
0.9723,0.8954,0.9839,0.8561,,0,0,0,0,1,False,Unknown,Unknown,701,90,2003-07-31,,0
,-0.1724,0.0194,-0.2099,,1,0,0,0,1,False,Unknown,Unknown,1088,91,2002-12-06,,0
0.9587,0.9325,0.9682,0.8871,,0,0,0,0,1,False,Unknown,Unknown,973,92,2002-08-25,,0
,-0.9294,-0.9437,-0.9439,,1,0,0,0,1,True,Family Leisure,Economy Class,1069,93,2023-07-24,2023-07-01,0
,-0.873,-0.8733,-0.8759,,1,0,0,0,1,True,Couple Leisure,Economy Class,2008,94,2023-07-19,2023-06-01,0
-0.9142,,-0.9719,-0.9381,,0,1,0,0,1,True,Family Leisure,Economy Class,727,95,2023-07-17,2023-05-01,1
-0.872,,-0.955,,,0,1,0,1,1,True,Couple Leisure,Premium Economy,373,96,2023-07-16,2023-07-01,0
,,-0.9873,,,1,1,0,1,1,False,Couple Leisure,Economy Class,588,97,2023-07-16,2023-07-01,0
,,,-0.8602,,1,1,1,0,1,False,Couple Leisure,Business Class,293,98,2023-07-15,2023-07-01,0
-0.9205,,-0.9317,-0.9337,,0,1,0,0,1,False,Couple Leisure,Economy Class,2389,99,2023-07-11,2023-07-01,0
,,,0.8376,0.9306,1,1,1,0,0,True,Couple Leisure,Economy Class,405,100,2023-07-07,2023-07-01,1
,0.9531,,0.3194,,1,0,1,0,1,True,Business,Business Class,449,101,2023-07-05,2023-06-01,1
,,,-0.6648,,1,1,1,0,1,True,Business,Economy Class,318,102,2023-07-04,2023-06-01,0
,,-0.9753,,,1,1,0,1,1,False,Business,Business Class,271,103,2023-07-03,2023-07-01,0
0.8395,-0.8878,-0.3986,-0.3535,0.5535,0,0,0,0,0,True,Couple Leisure,Economy Class,622,104,2023-07-01,2023-06-01,1
,,,-0.7834,,1,1,1,0,1,True,Solo Leisure,Economy Class,427,105,2023-07-01,2023-06-01,0
-0.0678,,-0.9608,-0.7662,,0,1,0,0,1,True,Couple Leisure,Economy Class,407,106,2023-06-30,2023-06-01,0
0.9887,0.9822,0.9882,,0.9822,0,0,0,1,0,True,Couple Leisure,Economy Class,1071,107,2023-06-29,2023-06-01,1
,,0.782,0.133,,1,1,0,0,1,True,Couple Leisure,Business Class,674,108,2023-05-30,2023-05-01,1
-0.9765,,,,,0,1,1,1,1,True,Family Leisure,Economy Class,526,109,2023-05-23,2023-05-01,0
-0.4214,,-0.8249,-0.4554,,0,1,0,0,1,False,Business,Economy Class,706,110,2023-05-02,2023-05-01,0
