absa_seat,absa_food,absa_staff,absa_ground_service,absa_entertainment,Verified,Type Of Traveller,Seat Type,review_length,Recommended
0.9722,0.9598,0.9679,0.9611,0.9552,True,Solo Leisure,Economy Class,352,1
-0.8778,-0.9447,-0.954,-0.9612,-0.93,True,Solo Leisure,Economy Class,689,0
0.85,0.6766,-0.4084,-0.7031,-0.5122,True,Solo Leisure,Economy Class,405,0
-0.8941,-0.9484,-0.9613,-0.9543,-0.9292,False,Solo Leisure,Economy Class,734,0
-0.8979,-0.9609,-0.9696,-0.963,-0.9437,True,Couple Leisure,Economy Class,597,0
-0.9688,-0.9789,-0.984,-0.9801,-0.9776,True,Couple Leisure,Economy Class,730,0
-0.8061,-0.8891,-0.9299,-0.9402,-0.7424,False,Business,Economy Class,323,0
-0.1815,-0.5966,0.4342,-0.6974,-0.5547,False,Solo Leisure,Economy Class,1056,0
-0.9457,-0.9713,-0.9773,-0.9779,-0.9424,True,Solo Leisure,Economy Class,207,0
0.9683,0.9579,0.974,0.9144,0.9574,True,Family Leisure,Economy Class,438,1
-0.7346,-0.9258,-0.993,-0.9638,-0.8504,False,Business,Economy Class,281,0
-0.9609,-0.9753,-0.9942,-0.9735,-0.9615,True,Family Leisure,Economy Class,410,0
-0.8729,-0.8899,-0.9157,-0.8973,-0.8898,True,Solo Leisure,Economy Class,969,0
-0.9218,-0.9304,-0.9639,-0.9203,-0.9228,True,Business,Economy Class,1023,0
-0.8835,-0.9148,-0.9323,-0.9204,-0.9037,True,Couple Leisure,Economy Class,1695,0
0.9905,0.9883,0.993,0.9644,0.9871,True,Business,Economy Class,191,1
-0.9344,-0.949,-0.962,-0.8286,-0.9592,True,Solo Leisure,Economy Class,497,0
-0.3528,-0.4863,-0.4781,-0.4129,-0.3565,True,Solo Leisure,Economy Class,2215,0
0.2533,0.1987,0.2448,0.1085,0.2246,True,Business,Economy Class,628,1
-0.8224,-0.9532,-0.9736,-0.973,-0.9281,False,Couple Leisure,Economy Class,470,0
-0.8679,-0.9184,-0.9446,-0.9341,-0.9024,False,Family Leisure,Economy Class,968,0
0.9387,0.3568,0.6705,0.0299,0.5524,False,Business,Economy Class,750,1
0.9919,0.9891,0.9919,0.9736,0.9833,False,Solo Leisure,Business Class,525,1
0.9862,0.9786,0.9883,0.9614,0.9734,False,Business,Economy Class,321,1
0.9931,0.9535,0.9843,0.8777,0.9792,False,Solo Leisure,Business Class,450,1
-0.7511,-0.8351,-0.7906,-0.8647,-0.8176,False,Business,Economy Class,782,0
-0.8183,-0.8449,-0.8353,-0.8391,-0.8365,False,Solo Leisure,Economy Class,1797,0
-0.7761,-0.9596,-0.9753,-0.9601,-0.9519,False,Solo Leisure,Economy Class,923,0
0.6385,0.4757,0.3042,0.3747,0.5141,False,Couple Leisure,Economy Class,799,0
-0.5472,0.3608,0.4899,0.2109,0.4317,False,Family Leisure,Economy Class,809,1
-0.7539,-0.955,-0.974,-0.9663,-0.8929,False,Couple Leisure,Economy Class,355,0
0.9782,0.9631,0.9821,0.7909,0.953,False,Solo Leisure,Economy Class,367,1
0.9499,0.9362,0.9413,0.8983,0.9363,False,Business,Economy Class,733,1
0.8811,0.8291,0.9271,0.7244,0.8355,False,Solo Leisure,Economy Class,395,1
-0.3048,-0.4695,-0.849,-0.4126,-0.4704,False,Solo Leisure,Economy Class,630,1
-0.041,-0.6418,-0.6624,-0.8009,-0.4246,False,Solo Leisure,Economy Class,481,0
0.0685,-0.267,-0.2827,-0.1563,-0.0578,False,Couple Leisure,Economy Class,434,0
0.0051,-0.0521,-0.0739,-0.0905,-0.0396,False,Solo Leisure,Economy Class,565,1
