vader_compound,vader_pos,vader_neg,vader_neu,Verified,Type Of Traveller,Seat Type,review_length,Recommended
0.9342,0.217,0.0,0.783,True,Solo Leisure,Economy Class,352,1
-0.8244,0.027,0.091,0.882,True,Solo Leisure,Economy Class,689,0
0.7569,0.106,0.027,0.867,True,Solo Leisure,Economy Class,405,0
-0.96,0.034,0.177,0.789,False,Solo Leisure,Economy Class,734,0
0.3027,0.103,0.087,0.81,True,Couple Leisure,Economy Class,597,0
-0.8822,0.058,0.122,0.82,True,Couple Leisure,Economy Class,730,0
-0.9589,0.048,0.332,0.619,False,Business,Economy Class,323,0
-0.8896,0.05,0.104,0.846,False,Solo Leisure,Economy Class,1056,0
0.7644,0.224,0.086,0.69,True,Solo Leisure,Economy Class,207,0
0.9019,0.165,0.03,0.805,True,Family Leisure,Economy Class,438,1
-0.9361,0.0,0.25,0.75,False,Business,Economy Class,281,0
-0.7937,0.057,0.136,0.807,True,Family Leisure,Economy Class,410,0
-0.9436,0.033,0.106,0.861,True,Solo Leisure,Economy Class,969,0
-0.3792,0.09,0.102,0.808,True,Business,Economy Class,1023,0
-0.8837,0.016,0.073,0.911,True,Couple Leisure,Economy Class,1695,0
0.8012,0.217,0.0,0.783,True,Business,Economy Class,191,1
-0.8309,0.019,0.115,0.866,True,Solo Leisure,Economy Class,497,0
-0.8314,0.069,0.091,0.84,True,Solo Leisure,Economy Class,2215,0
0.765,0.074,0.017,0.909,True,Business,Economy Class,628,1
-0.647,0.056,0.106,0.837,False,Couple Leisure,Economy Class,470,0
-0.9886,0.0,0.169,0.831,False,Family Leisure,Economy Class,968,0
0.6415,0.122,0.08,0.797,False,Business,Economy Class,750,1
0.9807,0.265,0.024,0.712,False,Solo Leisure,Business Class,525,1
0.9628,0.302,0.0,0.698,False,Business,Economy Class,321,1
0.9701,0.23,0.03,0.74,False,Solo Leisure,Business Class,450,1
0.6631,0.069,0.041,0.89,False,Business,Economy Class,782,0
0.6719,0.104,0.097,0.799,False,Solo Leisure,Economy Class,1797,0
0.5492,0.048,0.044,0.908,False,Solo Leisure,Economy Class,923,0
-0.6668,0.129,0.156,0.715,False,Couple Leisure,Economy Class,799,0
-0.34,0.051,0.047,0.902,False,Family Leisure,Economy Class,809,1
-0.4603,0.091,0.14,0.769,False,Couple Leisure,Economy Class,355,0
0.9669,0.333,0.022,0.645,False,Solo Leisure,Economy Class,367,1
0.845,0.096,0.038,0.866,False,Business,Economy Class,733,1
0.9343,0.211,0.032,0.757,False,Solo Leisure,Economy Class,395,1
0.9277,0.121,0.013,0.866,False,Solo Leisure,Economy Class,630,1
-0.0609,0.068,0.08,0.852,False,Solo Leisure,Economy Class,481,0
0.4409,0.128,0.129,0.743,False,Couple Leisure,Economy Class,434,0
0.7085,0.122,0.073,0.805,False,Solo Leisure,Economy Class,565,1
0.9398,0.231,0.0,0.769,False,Business,Business Class,477,1
-0.6135,0.062,0.134,0.804,False,Family Leisure,Economy Class,343,0
0.5775,0.102,0.071,0.826,False,Family Leisure,Economy Class,381,1
0.9774,0.328,0.0,0.672,False,Family Leisure,Economy Class,330,1
0.7351,0.129,0.058,0.813,False,Unknown,Economy Class,424,1
0.9497,0.33,0.0,0.67,False,Unknown,Economy Class,249,1
0.9134,0.146,0.0,0.854,False,Unknown,Business Class,439,1
0.2991,0.069,0.067,0.864,False,Unknown,Economy Class,675,0
0.8827,0.185,0.072,0.743,False,Unknown,Economy Class,403,1
0.7266,0.16,0.102,0.739,False,Unknown,Economy Class,433,1
0.9571,0.337,0.0,0.663,False,Unknown,Economy Class,248,1
0.8674,0.12,0.0,0.88,False,Unknown,Business Class,423,1
0.9677,0.326,0.0,0.674,False,Unknown,Economy Class,243,1
0.9553,0.359,0.0,0.641,False,Unknown,Economy Class,205,1
0.9783,0.202,0.0,0.798,False,Unknown,Economy Class,629,1
0.9905,0.323,0.017,0.66,False,Unknown,Economy Class,639,1
0.0951,0.023,0.0,0.977,False,Unknown,Business Class,306,1
0.9582,0.165,0.044,0.791,False,Unknown,Business Class,777,1
0.9546,0.252,0.043,0.704,False,Unknown,Economy Class,411,1
0.8314,0.23,0.117,0.652,False,Unknown,Economy Class,293,1
0.802,0.132,0.053,0.815,False,Unknown,Economy Class,402,1
-0.1154,0.04,0.046,0.914,False,Unknown,Economy Class,344,1
0.4363,0.101,0.056,0.843,False,Unknown,Economy Class,310,1
0.9681,0.253,0.017,0.73,False,Unknown,Economy Class,458,1
0.6124,0.1,0.033,0.867,False,Unknown,Economy Class,387,0
0.8979,0.199,0.0,0.801,False,Unknown,Economy Class,250,1
0.908,0.145,0.0,0.855,False,Unknown,Business Class,442,1
0.9596,0.333,0.025,0.643,False,Unknown,Business Class,291,1
0.9615,0.232,0.021,0.747,False,Unknown,Economy Class,364,1
0.6237,0.105,0.048,0.847,False,Unknown,Economy Class,410,0
0.5719,0.084,0.064,0.851,False,Unknown,Economy Class,854,0
0.9836,0.187,0.059,0.754,False,Unknown,Economy Class,1041,1
0.8834,0.222,0.0,0.778,False,Unknown,Economy Class,233,1
0.0149,0.051,0.06,0.889,False,Unknown,Economy Class,634,1
0.9423,0.204,0.073,0.723,False,Unknown,Unknown,566,0
0.9468,0.196,0.0,0.804,False,Unknown,Unknown,380,0
0.9215,0.191,0.0,0.809,False,Unknown,Unknown,402,0
0.6124,0.041,0.0,0.959,False,Unknown,Unknown,535,0
0.9493,0.33,0.0,0.67,False,Unknown,Unknown,266,0
