Set,Model,CV_F1_mean,CV_F1_std,CV_ROC_AUC_mean,CV_ROC_AUC_std,CV_PR_AUC_mean,CV_PR_AUC_std,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC_AUC,Test_PR_AUC,Test_PR_AUC_baseline,Train_positive_rate,Test_positive_rate,Predicted_positive_rate
A,LogisticRegression,0.9187218557131877,0.009675263359716012,0.9817093911071406,0.009281715930064856,0.9702117959884156,0.006561474450681371,0.9540905134899913,0.8705281090289608,0.9454209065679926,0.906430155210643,0.9860810613427587,0.9664110398784155,0.23520452567449956,0.3592254134029591,0.23520452567449956,0.2554395126196693
A,LightGBM,0.9181076024606707,0.008233715027280382,0.9821670561551643,0.0061433499918741785,0.9697472079034158,0.00452705140870165,0.9525674499564839,0.8672340425531915,0.9426456984273821,0.9033687943262412,0.9854266701581567,0.9643309942300264,0.23520452567449956,0.3592254134029591,0.23520452567449956,0.25565709312445606
A,XGBoost,0.9166281037618047,0.007296483167410375,0.9807946948798077,0.005766388752638795,0.9660921258203349,0.006101038010937645,0.9538729329852045,0.8755401901469317,0.937095282146161,0.9052725647899911,0.982984118545733,0.9601801709612107,0.23520452567449956,0.3592254134029591,0.23520452567449956,0.25174064403829416
A,RandomForest,0.919697095966972,0.006490406551098093,0.981427362437126,0.007506419899128539,0.9669027488556354,0.0062276899656790626,0.9575718015665796,0.9019963702359347,0.9195189639222942,0.9106733852496565,0.9825569812472777,0.9572934081433748,0.23520452567449956,0.3592254134029591,0.23520452567449956,0.23977371627502175
E1,LightGBM,0.9157603622129559,0.0076730614845718845,0.9690936505391934,0.004942249175358495,0.9611325007821081,0.007403148086711117,0.9553959965187119,0.9147727272727273,0.8936170212765957,0.9040711277491811,0.9681060290048069,0.9481041175212745,0.23520452567449956,0.3592254134029591,0.23520452567449956,0.2297650130548303
E1,XGBoost,0.9126016433607684,0.007689605480446324,0.9662325578051997,0.005467134669892041,0.9575858158294347,0.008423072418368621,0.9538729329852045,0.9102927289896129,0.8917668825161887,0.9009345794392524,0.9667688234512325,0.9439388731957049,0.23520452567449956,0.3592254134029591,0.23520452567449956,0.2304177545691906
E1,LogisticRegression,0.9182218296461604,0.006927724453826741,0.9694672766234482,0.0038308456370649115,0.9607176764723903,0.008349194857353304,0.95822454308094,0.9261744966442953,0.8936170212765957,0.9096045197740112,0.9664080069163081,0.9391063361506542,0.23520452567449956,0.3592254134029591,0.23520452567449956,0.22693646649260227
E2,LightGBM,0.9082734063453142,0.006599676500764508,0.9676931662564489,0.007192413195905237,0.9575289023567265,0.0058763187876905015,0.9462576153176675,0.8948863636363636,0.8741905642923219,0.8844174075807206,0.9654162220061241,0.9416952609004329,0.23520452567449956,0.3592254134029591,0.23520452567449956,0.2297650130548303
E2,XGBoost,0.9016985807844232,0.005877159150936984,0.9645328813826615,0.007228953269673518,0.9533567447103426,0.0055738062062708205,0.9473455178416014,0.9022051773729626,0.8704902867715079,0.8860640301318268,0.9623925741799056,0.9363049382454426,0.23520452567449956,0.3592254134029591,0.23520452567449956,0.22693646649260227
E1,RandomForest,0.9184093375770006,0.006855264728757835,0.9693125864856867,0.004923090164658673,0.9571067794650743,0.007307228376063224,0.9558311575282855,0.9337944664031621,0.8741905642923219,0.903010033444816,0.9623575715547086,0.9370993447697002,0.23520452567449956,0.3592254134029591,0.23520452567449956,0.22019147084421237
E2,RandomForest,0.9095017044516205,0.009462148179069828,0.964764116493685,0.0058430798846554185,0.9505966540795733,0.007987545232992397,0.9519147084421236,0.924901185770751,0.8658649398704903,0.8944099378881988,0.959071009273064,0.9290899998072377,0.23520452567449956,0.3592254134029591,0.23520452567449956,0.22019147084421237
E2,LogisticRegression,0.9085620736466421,0.0109482782144451,0.9611978375304497,0.005903264592588946,0.9469365117106708,0.0094490891026218,0.9532201914708442,0.9245098039215687,0.8723404255319149,0.8976677772489291,0.9577149865187257,0.928623124122385,0.23520452567449956,0.3592254134029591,0.23520452567449956,0.22193211488250653
D,LightGBM,0.8492574133493156,0.012016770952695328,0.9482327819640174,0.007766037948179619,0.9243932221111661,0.013591846866307336,0.9134029590948651,0.7867338371116709,0.8667900092506938,0.8248239436619719,0.9515661042999278,0.904209837388855,0.23520452567449956,0.3592254134029591,0.23520452567449956,0.2591383812010444
D,LogisticRegression,0.8506856328770006,0.015462642170176639,0.9511815385007075,0.007227562429585663,0.9271359357513476,0.01642447869273952,0.9077458659704091,0.7642799678197908,0.8788159111933395,0.8175559380378657,0.9504215447737527,0.8978720322225554,0.23520452567449956,0.3592254134029591,0.23520452567449956,0.2704525674499565
D,RandomForest,0.8548955695625648,0.014035207751568527,0.9498607231849474,0.006032016362155732,0.9233429158398179,0.016297672379455272,0.9203655352480418,0.8369462770970783,0.8214616096207216,0.8291316526610645,0.9473815799342845,0.8944703128550839,0.23520452567449956,0.3592254134029591,0.23520452567449956,0.23085291557876414
D,XGBoost,0.8428682360447446,0.014209678447033294,0.9450857600390915,0.008307225971697597,0.9196723095562884,0.014521011877641973,0.9134029590948651,0.792630676949443,0.8556891766882516,0.8229537366548043,0.9465454645940551,0.8968663521214641,0.23520452567449956,0.3592254134029591,0.23520452567449956,0.2539164490861619
B,LogisticRegression,0.8315885449538818,0.018633073780373138,0.9440989991598274,0.00672472249501732,0.9178650593929965,0.01905156891745688,0.8955613577023499,0.733852140077821,0.8723404255319149,0.7971259509721048,0.9455424946344659,0.8870000582440066,0.23520452567449956,0.3592254134029591,0.23520452567449956,0.27959094865100087
B,LightGBM,0.8365170051078955,0.013676205176334465,0.9413829213019772,0.008116746118501165,0.9163299452775323,0.015631069136527804,0.901218450826806,0.7610324729392173,0.845513413506013,0.8010517090271692,0.943965139490725,0.8897733890072265,0.23520452567449956,0.3592254134029591,0.23520452567449956,0.2613141862489121
B,RandomForest,0.837075309502606,0.01293684364516644,0.9387681601119375,0.009689717323005179,0.9083924790934598,0.017769531597632494,0.9112271540469974,0.8130232558139535,0.8085106382978723,0.8107606679035251,0.9413200726896622,0.8765104800292751,0.23520452567449956,0.3592254134029591,0.23520452567449956,0.23389904264577893
C,LightGBM,0.8192986478478532,0.02316457545857829,0.9325856949531038,0.009575851260894318,0.8977742081257357,0.017937803014225984,0.8890339425587467,0.7323026851098454,0.8325624421831638,0.7792207792207793,0.9409529398915445,0.8723551028775313,0.23520452567449956,0.3592254134029591,0.23520452567449956,0.2674064403829417
B,XGBoost,0.8243622983796097,0.016786634009384096,0.9356165433801985,0.00843372112788069,0.9095377508772075,0.01692732812439597,0.9031766753698869,0.768581081081081,0.8418131359851989,0.8035320088300221,0.9395821791897551,0.8861236394444688,0.23520452567449956,0.3592254134029591,0.23520452567449956,0.257615317667537
C,XGBoost,0.8083452255478043,0.022286048441200405,0.9285596534444865,0.010825303697110577,0.8921257775230345,0.016324800539388392,0.8901218450826806,0.7352941176470589,0.8325624421831638,0.7809110629067245,0.9392929469710227,0.8719297307793461,0.23520452567449956,0.3592254134029591,0.23520452567449956,0.26631853785900783
C,RandomForest,0.8147270977921025,0.022109181335819024,0.9256177735746018,0.006944847323685795,0.8800147026956099,0.02158147400953583,0.8990426457789382,0.7838086476540939,0.788159111933395,0.7859778597785978,0.9307108559457749,0.8513445148634153,0.23520452567449956,0.3592254134029591,0.23520452567449956,0.2365100087032202
C,LogisticRegression,0.8023868574162956,0.031192759694833996,0.9205805134376227,0.008377008378353177,0.8594209987765694,0.03275652545858931,0.8696692776327241,0.6809309309309309,0.8390379278445883,0.7517612929962703,0.923921530956927,0.7993678156372268,0.23520452567449956,0.3592254134029591,0.23520452567449956,0.2898172323759791
