Set,Model,CV_ROC_AUC_mean,CV_ROC_AUC_std,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC_AUC,Test_PR_AUC,Test_PR_AUC_baseline,Train_positive_rate,Test_positive_rate,Predicted_positive_rate
A,LightGBM,0.9843917213196827,0.005183821256744638,0.9532201914708442,0.8699743370402053,0.9416666666666667,0.9044019564250778,0.9862321187797581,0.9669931569156709,0.2349869451697128,0.3592798085291558,0.2349869451697128,0.2543516100957354
A,LogisticRegression,0.983614992831248,0.005613654774450641,0.9530026109660574,0.8648648648648649,0.9481481481481482,0.9045936395759717,0.9860031390890323,0.9663863290270833,0.2349869451697128,0.3592798085291558,0.2349869451697128,0.257615317667537
B,LightGBM,0.946291580869179,0.005399104980269122,0.9027415143603134,0.7644110275689223,0.8472222222222222,0.8036890645586298,0.9475777398558967,0.8916748665404088,0.2349869451697128,0.3592798085291558,0.2349869451697128,0.260443864229765
B,LogisticRegression,0.9444681700108599,0.0054836276878133475,0.8855526544821584,0.7045790251107829,0.8833333333333333,0.7838948233360723,0.9457403720557873,0.8852481132375724,0.2349869451697128,0.3592798085291558,0.2349869451697128,0.29460400348128807
C,XGBoost,0.9380969159285361,0.0069624355977215575,0.891644908616188,0.7362012987012987,0.8398148148148148,0.7846020761245674,0.9419676715965112,0.8731228276652823,0.2349869451697128,0.3592798085291558,0.2349869451697128,0.268059181897302
C,LightGBM,0.9376861985897351,0.006569701388216031,0.891644908616188,0.7339228295819936,0.8453703703703703,0.7857142857142857,0.9413817258669364,0.8720267602341226,0.2349869451697128,0.3592798085291558,0.2349869451697128,0.27067014795474326
D,LightGBM,0.9528969952552335,0.006083399368055685,0.9118798955613577,0.7768662838392125,0.8768518518518519,0.823836450630709,0.9539196477478615,0.905985782432888,0.2349869451697128,0.3592798085291558,0.2349869451697128,0.26523063533507396
D,LogisticRegression,0.9510349557214035,0.007092581189263662,0.9075282854656223,0.7630522088353414,0.8796296296296297,0.8172043010752689,0.950895114397674,0.8982030454649041,0.2349869451697128,0.3592798085291558,0.2349869451697128,0.27088772845953
E1,XGBoost,0.971379892342996,0.00489083741875687,0.9571366405570061,0.9232981783317353,0.8916666666666667,0.9072067828544512,0.969208749420638,0.9485229261886365,0.2349869451697128,0.3592798085291558,0.2349869451697128,0.22693646649260227
E1,LightGBM,0.9716384709074297,0.004407643352811083,0.9571366405570061,0.9208770257387988,0.8944444444444445,0.9074682949741663,0.9684912621666034,0.9445719563658622,0.2349869451697128,0.3592798085291558,0.2349869451697128,0.2282419495213229
E2,LightGBM,0.9698972599205355,0.004992333180743643,0.9475630983463882,0.8983855650522318,0.8759259259259259,0.8870135958743554,0.9671713700332869,0.9427905162601016,0.2349869451697128,0.3592798085291558,0.2349869451697128,0.22911227154046998
E2,XGBoost,0.9703288040711229,0.005060631970212018,0.9484334203655352,0.9033492822966507,0.8740740740740741,0.8884705882352941,0.9669659598449417,0.9424407706476208,0.2349869451697128,0.3592798085291558,0.2349869451697128,0.2273716275021758
